,ac picco picco,ac picco picco c,ac error mv,ac error mv C,dc Vmax,dc Vmax C,dc error mv,3.5 ms scala,Cond: 214.81 microF
99.72,0.574,1.209,78,192,4.42,8.77,210,,
114.76,0.547,1.145,78,192,4.705,8.77,210,,
130,0.495,1.1,78,192,4.85,8.79,210,,
160,0.343,1.053,60,168,4.99,8.85,210,,
179,0.262,1.022,60,168,5.05,8.8,210,,
200,0.202,0.992,32,152,5.08,8.77,210,,
225,0.156,0.983,32,152,5.12,8.8,210,,
250,0.128,0.976,22,148,5.14,8.81,210,,
275,0.109,0.974,22,148,5.15,8.81,210,,
305,0.093,0.975,15,148,5.17,8.82,210,,
325,0.085,0.975,15,148,5.18,8.82,210,,
350,0.079,0.977,15,148,5.19,8.81,210,,
375,0.074,0.972,15,148,5.19,8.8,210,,
399,0.07,0.969,12,148,5.2,8.83,210,,
450,0.064,0.967,12,148,5.21,8.82,210,,
501,0.058,0.966,10,148,5.21,8.82,210,,
569,0.055,0.966,10,148,5.22,8.82,210,,
619,0.053,0.966,10,148,5.22,8.82,210,,
669,0.051,0.964,10,148,5.23,8.82,210,,
719,0.05,0.958,8,148,5.23,8.82,210,,
799,0.048,0.962,8,148,5.23,8.81,210,,
1497,0.042,0.963,8,148,5.25,8.81,210,,
7984,0.036,0.958,6,148,5.26,8.83,210,,
14977,0.035,0.96,6,148,5.26,8.83,210,,
29944,0.035,0.96,6,148,5.26,8.82,210,,
1E+018,0.032,0.959,6,148,5.27,8.81,210,,
